Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
373,Jordan Poole\poolejo01,SG,20,GSW,31,9,21.5,2.2,8.3,.261,1.1,4.5,.239,1.1,3.8,.286,.325,1.6,1.9,.850,0.1,1.7,1.9,1.8,0.7,0.2,1.0,1.6,7.0
374,Kevin Porter\porteke02,SF,19,CLE,34,2,21.8,3.3,7.4,.439,0.8,2.7,.297,2.5,4.8,.519,.492,1.2,1.6,.727,0.4,2.9,3.3,1.9,0.9,0.2,1.7,2.6,8.5
375,Michael Porter\portemi01,PF,21,DEN,27,1,10.7,2.5,4.6,.540,0.6,1.6,.372,1.9,3.0,.630,.605,0.4,0.6,.706,0.9,2.0,2.9,0.5,0.1,0.4,0.7,1.4,6.0
376,Otto Porter\porteot01,SF,26,CHI,9,9,25.1,3.9,9.3,.417,1.8,4.4,.400,2.1,4.9,.432,.512,1.7,2.2,.750,0.9,2.6,3.4,1.6,1.0,0.3,0.8,2.2,11.2
377,Bobby Portis\portibo01,C,24,NYK,37,2,20.8,3.8,8.7,.440,1.1,3.0,.382,2.7,5.8,.469,.505,1.1,1.4,.750,1.4,4.1,5.6,1.3,0.6,0.2,1.0,1.8,9.9
378,Kristaps Porziņģis\porzikr01,PF,24,DAL,31,31,31.2,6.1,15.2,.403,2.2,6.4,.343,3.9,8.8,.445,.475,2.8,3.9,.725,1.7,7.6,9.4,1.5,0.6,2.1,1.7,3.0,17.3
379,Dwight Powell\poweldw01,C,28,DAL,33,30,26.6,3.3,5.5,.608,0.3,1.0,.265,3.1,4.5,.687,.633,1.8,2.6,.667,1.8,3.6,5.4,1.4,0.9,0.6,0.8,2.6,8.7
380,Norman Powell\powelno01,SG,26,TOR,27,16,28.9,5.2,10.5,.493,1.9,4.9,.389,3.3,5.7,.582,.583,2.1,2.6,.826,0.6,3.3,3.9,1.7,1.1,0.4,1.6,1.9,14.4
381,Julius Randle\randlju01,PF,25,NYK,37,37,32.1,6.8,15.1,.449,1.2,4.2,.286,5.6,10.9,.511,.488,3.8,5.4,.697,2.2,6.9,9.1,3.2,0.7,0.2,2.9,2.7,18.5
382,Josh Reaves\reavejo02,G,22,DAL,2,0,0.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
383,Cam Reddish\reddica01,SF,20,ATL,33,22,25.6,2.7,8.5,.319,1.0,3.8,.264,1.7,4.8,.363,.378,1.5,2.0,.785,0.6,3.2,3.8,1.6,1.0,0.4,1.7,1.9,8.0
384,J.J. Redick\redicjj01,SG,35,NOP,35,31,28.4,4.9,10.8,.451,3.1,6.7,.462,1.8,4.1,.434,.595,2.7,3.0,.895,0.2,2.7,2.9,1.9,0.3,0.2,1.1,1.6,15.6
385,Naz Reid\reidna01,C,20,MIN,7,0,12.0,3.1,7.4,.423,1.4,4.1,.345,1.7,3.3,.522,.519,0.6,1.1,.500,1.0,1.9,2.9,1.0,0.6,0.4,1.0,2.1,8.3
386,Josh Richardson\richajo01,SG,26,PHI,30,30,32.0,5.6,12.8,.434,1.8,5.0,.358,3.8,7.8,.483,.504,2.1,2.7,.768,0.8,2.5,3.3,3.5,1.1,0.6,2.1,2.8,15.0
387,Austin Rivers\riverau01,SG,27,HOU,33,2,22.6,2.9,7.0,.411,1.3,3.9,.326,1.6,3.1,.520,.502,0.9,1.3,.682,0.5,1.8,2.4,1.5,0.5,0.2,0.6,1.8,7.9
388,Duncan Robinson\robindu01,SF,25,MIA,36,31,27.3,4.0,8.4,.472,3.2,7.2,.444,0.8,1.2,.636,.662,0.6,0.6,.957,0.2,3.1,3.3,0.9,0.6,0.3,0.7,2.7,11.8
389,Glenn Robinson\robingl02,SF,26,GSW,37,37,31.9,4.8,10.5,.454,1.3,3.2,.395,3.5,7.3,.480,.514,1.2,1.5,.833,1.4,3.3,4.7,1.6,0.9,0.2,0.9,1.8,12.1
390,Jerome Robinson\robinje01,SG,22,LAC,30,0,11.9,1.3,3.6,.352,0.5,1.8,.283,0.8,1.8,.418,.421,0.3,0.6,.588,0.1,1.4,1.6,1.0,0.3,0.2,0.7,1.4,3.4
391,Justin Robinson\robinju01,PG,22,WAS,9,0,5.4,0.6,1.3,.417,0.3,0.6,.600,0.2,0.8,.286,.542,0.0,0.0,,0.1,0.4,0.6,0.8,0.0,0.1,0.3,0.2,1.4
392,Mitchell Robinson\robinmi01,C,21,NYK,33,7,22.7,4.3,6.0,.709,0.0,0.0,,4.3,6.0,.709,.709,1.7,2.7,.622,3.0,3.9,7.0,0.5,0.8,1.8,0.6,3.5,10.2
393,Rajon Rondo\rondora01,PG,33,LAL,25,1,21.0,2.7,6.6,.404,1.0,2.6,.369,1.7,4.0,.426,.476,0.6,0.8,.762,0.4,3.0,3.4,5.4,1.0,0.1,2.1,1.2,7.0
394,Derrick Rose\rosede01,PG,31,DET,32,1,25.0,7.0,14.5,.484,1.0,3.0,.330,6.0,11.4,.525,.518,2.5,2.8,.878,0.5,1.7,2.2,5.8,0.9,0.3,2.5,1.0,17.5
395,Terrence Ross\rosste01,SG,28,ORL,35,0,25.1,4.6,11.1,.415,2.1,6.2,.341,2.5,4.9,.509,.510,2.0,2.4,.845,0.3,2.5,2.8,0.9,1.0,0.3,1.0,1.5,13.4
396,Terry Rozier\roziete01,PG,25,CHO,39,39,33.9,6.4,15.1,.424,2.6,6.7,.391,3.8,8.4,.450,.510,2.6,3.1,.842,0.8,3.6,4.4,4.4,1.2,0.2,2.6,2.2,18.0
397,Ricky Rubio\rubiori01,PG,29,PHO,31,31,32.1,4.8,11.7,.412,1.2,3.6,.319,3.7,8.1,.454,.462,2.6,3.1,.833,0.7,3.9,4.6,9.3,1.3,0.2,2.5,2.5,13.4
398,D'Angelo Russell\russeda01,SG,23,GSW,22,22,31.4,8.1,18.8,.433,3.4,9.3,.363,4.8,9.5,.502,.523,3.6,4.7,.767,0.3,3.1,3.4,6.0,0.9,0.4,3.0,2.2,23.2
399,Domantas Sabonis\sabondo01,C,23,IND,35,35,34.3,7.1,13.7,.522,0.3,1.1,.256,6.9,12.6,.545,.532,3.2,4.5,.718,3.4,9.6,13.0,4.2,0.9,0.6,2.6,3.4,17.8
400,JaKarr Sampson\sampsja02,SF,26,IND,11,7,15.6,2.2,3.8,.571,0.2,0.9,.200,2.0,2.9,.688,.595,0.2,0.6,.286,0.6,1.9,2.5,0.4,0.5,0.5,0.5,2.2,4.7
401,Dario Šarić\saricda01,PF,25,PHO,37,34,25.4,3.8,8.6,.438,1.4,4.2,.325,2.4,4.3,.550,.519,1.2,1.4,.830,1.5,5.0,6.5,1.9,0.6,0.3,1.3,2.4,10.1
402,Tomáš Satoranský\satorto01,PG,28,CHI,37,37,28.8,3.7,8.2,.446,1.2,3.2,.376,2.5,5.1,.489,.518,1.5,1.8,.877,1.1,2.7,3.8,5.5,1.5,0.1,2.0,1.9,10.1
403,Admiral Schofield\schofad01,SF,22,WAS,22,2,11.0,1.0,2.6,.368,0.5,1.7,.297,0.5,0.9,.500,.465,0.4,0.5,.750,0.2,1.0,1.2,0.5,0.3,0.1,0.3,1.7,2.8
404,Dennis Schröder\schrode01,PG,26,OKC,36,0,30.6,7.0,15.0,.467,1.8,5.1,.355,5.2,9.9,.524,.527,2.7,3.3,.814,0.3,3.4,3.8,3.7,0.7,0.3,2.9,2.2,18.5
405,Mike Scott\scottmi01,PF,31,PHI,38,4,18.4,2.2,5.2,.416,1.2,3.5,.348,0.9,1.7,.554,.533,0.4,0.4,.824,0.7,2.5,3.2,0.6,0.3,0.1,0.4,1.3,5.9
406,Thabo Sefolosha\sefolth01,PF,35,HOU,23,0,9.9,0.7,2.1,.333,0.3,1.3,.276,0.3,0.8,.421,.417,0.0,0.0,.000,0.5,1.6,2.1,0.7,0.4,0.2,0.3,0.9,1.7
407,Collin Sexton\sextoco01,SG,21,CLE,37,37,31.2,7.1,15.8,.451,0.9,3.2,.297,6.2,12.6,.489,.480,3.3,4.0,.830,1.0,2.1,3.1,2.3,1.0,0.1,2.1,2.1,18.5
408,Landry Shamet\shamela01,SG,22,LAC,21,14,26.5,2.9,6.9,.421,2.0,5.1,.393,0.9,1.8,.500,.566,1.1,1.2,.960,0.1,1.8,2.0,1.6,0.5,0.2,0.9,3.0,9.0
409,Iman Shumpert\shumpim01,SG,29,BRK,13,0,18.5,1.6,4.9,.328,0.6,2.5,.242,1.0,2.4,.419,.391,0.3,0.5,.571,0.7,1.9,2.6,0.9,0.9,0.2,0.8,1.6,4.2
410,Pascal Siakam\siakapa01,PF,25,TOR,27,27,36.6,9.4,20.5,.457,2.5,6.3,.392,6.9,14.2,.486,.517,3.9,4.7,.813,1.4,6.6,8.0,3.6,1.0,1.0,2.7,2.9,25.1
411,Chris Silva\silvach01,PF,23,MIA,29,0,8.5,1.3,1.9,.691,0.0,0.1,.000,1.3,1.8,.717,.691,1.0,1.4,.683,1.6,1.6,3.2,0.5,0.2,0.6,1.0,2.2,3.6
412,Ben Simmons\simmobe01,PG,23,PHI,36,36,35.4,6.1,10.8,.563,0.1,0.1,.400,6.0,10.7,.565,.566,2.7,4.6,.590,1.9,5.6,7.5,8.6,2.2,0.7,3.6,3.4,14.9
413,Anfernee Simons\simonan01,SG,20,POR,38,1,22.4,3.7,8.7,.419,1.2,3.7,.338,2.4,5.1,.477,.489,1.1,1.4,.774,0.4,2.2,2.6,1.4,0.4,0.1,1.0,2.0,9.6
414,Alen Smailagić\smailal01,F,19,GSW,5,0,11.4,1.8,3.6,.500,0.2,1.2,.167,1.6,2.4,.667,.528,1.2,1.4,.857,0.6,1.8,2.4,0.8,0.2,0.4,0.2,1.4,5.0
415,Marcus Smart\smartma01,SG,25,BOS,25,19,31.7,3.9,10.7,.363,2.0,6.2,.314,1.9,4.4,.432,.455,1.7,2.2,.778,0.9,2.4,3.3,4.7,1.5,0.5,1.2,2.4,11.4
416,Dennis Smith\smithde03,PG,22,NYK,21,1,16.1,2.0,6.0,.325,0.6,2.0,.293,1.4,4.0,.341,.373,0.7,1.4,.500,0.6,1.5,2.1,2.7,0.5,0.3,1.4,2.1,5.2
417,Ish Smith\smithis01,PG,31,WAS,36,12,26.1,4.8,10.2,.471,1.0,2.7,.371,3.8,7.5,.507,.520,0.8,1.3,.652,0.4,2.4,2.9,4.3,0.8,0.4,1.3,1.6,11.4
418,Tony Snell\snellto01,SF,28,DET,34,32,25.8,2.9,6.3,.469,1.9,4.3,.435,1.1,1.9,.545,.620,0.4,0.4,1.000,0.2,1.6,1.8,1.4,0.4,0.1,0.4,1.7,8.1
419,Omari Spellman\spellom01,PF,22,GSW,35,0,16.9,2.6,5.8,.450,0.7,1.8,.381,1.9,4.0,.482,.510,1.4,1.8,.806,1.9,3.1,4.9,0.9,0.7,0.5,1.1,1.0,7.3
420,Max Strus\strusma01,SG,23,CHI,2,0,3.0,1.0,1.5,.667,0.0,0.5,.000,1.0,1.0,1.000,.667,0.5,0.5,1.000,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2.5
421,Edmond Sumner\sumneed01,PG,24,IND,13,2,14.2,1.7,4.2,.400,0.3,1.2,.250,1.4,3.0,.462,.436,0.3,0.5,.571,0.5,0.8,1.4,1.5,0.6,0.3,0.5,1.7,4.0
422,Caleb Swanigan\swanica01,PF,22,SAC,6,0,3.3,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.2,0.3,.500,0.3,0.8,1.2,0.2,0.2,0.3,0.8,1.0,0.8
423,Jayson Tatum\tatumja01,PF,21,BOS,34,34,34.2,7.7,18.2,.425,2.4,6.6,.363,5.4,11.6,.460,.490,3.3,3.9,.848,1.1,5.7,6.9,2.8,1.3,0.9,2.2,2.1,21.1
424,Jeff Teague\teaguje01,PG,31,MIN,30,13,28.6,4.5,9.8,.456,1.0,2.6,.392,3.4,7.2,.479,.509,3.9,4.5,.867,0.4,2.2,2.7,6.3,0.8,0.4,2.3,2.1,13.9
425,Garrett Temple\templga01,SG,33,BRK,35,25,29.5,3.7,10.0,.366,2.1,6.6,.320,1.5,3.4,.454,.471,1.1,1.5,.769,0.6,2.8,3.4,2.6,0.9,0.5,1.3,1.8,10.6
426,Daniel Theis\theisda01,C,27,BOS,31,30,21.7,2.9,5.8,.508,0.3,1.1,.265,2.6,4.7,.566,.534,1.0,1.4,.705,1.8,4.3,6.1,1.4,0.6,1.5,0.8,3.3,7.2
427,Isaiah Thomas\thomais02,PG,30,WAS,27,24,23.9,4.6,11.1,.417,2.0,4.9,.412,2.6,6.3,.420,.507,1.7,2.0,.855,0.2,1.3,1.5,4.3,0.4,0.2,2.1,2.1,13.0
428,Khyri Thomas\thomakh01,SG,23,DET,2,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.5,1.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
429,Matt Thomas\thomama02,SG,25,TOR,13,0,11.6,1.7,3.3,.512,1.2,2.5,.500,0.5,0.8,.545,.698,0.4,0.5,.714,0.1,1.4,1.5,0.3,0.3,0.0,0.5,1.0,5.0
430,Tristan Thompson\thomptr01,C,28,CLE,35,35,31.3,5.1,10.4,.496,0.1,0.2,.429,5.1,10.2,.497,.500,1.9,3.1,.602,4.0,6.4,10.4,2.2,0.7,1.0,1.9,2.3,12.2
431,Matisse Thybulle\thybuma01,SG,22,PHI,30,3,17.6,1.6,3.7,.438,1.0,2.2,.463,0.6,1.5,.400,.576,0.5,0.8,.667,0.3,0.8,1.1,1.2,1.4,0.7,0.9,2.1,4.8
432,Anthony Tolliver\tollian01,PF,34,POR,28,8,16.2,1.0,3.0,.341,0.9,2.5,.343,0.2,0.5,.333,.482,0.4,0.6,.750,0.6,2.2,2.8,0.8,0.3,0.3,0.7,1.5,3.4
433,Karl-Anthony Towns\townska01,C,24,MIN,23,23,33.9,9.0,17.5,.514,3.6,8.5,.418,5.4,9.0,.604,.615,4.9,6.2,.796,2.7,9.0,11.7,4.4,1.0,1.3,3.1,3.5,26.5
434,Gary Trent\trentga02,SG,21,POR,25,2,12.1,1.4,3.8,.379,0.9,2.4,.377,0.5,1.4,.382,.500,0.2,0.2,1.000,0.2,0.8,1.0,0.5,0.3,0.2,0.3,0.8,4.0
435,Allonzo Trier\trieral01,PG,24,NYK,17,1,12.8,2.1,4.3,.493,0.9,2.3,.385,1.2,2.0,.618,.596,1.8,2.3,.795,0.1,1.3,1.4,1.3,0.1,0.2,1.2,1.4,6.9
436,P.J. Tucker\tuckepj01,PF,34,HOU,35,35,36.0,3.1,6.5,.476,1.7,4.3,.384,1.5,2.2,.654,.603,0.7,0.9,.767,1.6,5.6,7.3,1.4,1.2,0.5,1.0,3.3,8.5
437,Rayjon Tucker\tuckera01,F,22,UTA,3,0,4.0,1.0,1.7,.600,0.0,0.7,.000,1.0,1.0,1.000,.600,0.3,1.0,.333,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,2.3
438,Evan Turner\turneev01,PG,31,ATL,18,0,12.8,1.3,3.5,.381,0.0,0.3,.000,1.3,3.2,.414,.381,0.7,0.8,.857,0.4,1.6,2.0,2.0,0.4,0.4,1.4,1.0,3.3
439,Myles Turner\turnemy01,C,23,IND,29,29,29.5,4.4,9.8,.454,1.6,4.6,.356,2.8,5.2,.539,.537,2.0,2.8,.728,1.3,4.5,5.8,1.2,0.5,2.0,1.3,2.5,12.6
440,Jonas Valančiūnas\valanjo01,C,27,MEM,35,35,25.0,6.1,10.3,.593,0.7,1.5,.451,5.5,8.9,.616,.625,1.6,2.2,.750,2.6,7.1,9.7,2.0,0.3,0.9,2.1,2.6,14.5
441,Denzel Valentine\valende01,SF,26,CHI,21,0,12.7,2.4,5.7,.417,1.3,3.5,.384,1.0,2.2,.468,.533,0.2,0.2,1.000,0.1,1.8,2.0,1.0,0.7,0.2,0.6,1.3,6.3
442,Jarred Vanderbilt\vandeja01,SF,20,DEN,4,0,3.3,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.0,0.0,,0.0,0.5,0.5,0.3,0.0,0.0,0.5,0.3,0.5
443,Fred VanVleet\vanvlfr01,PG,25,TOR,31,31,36.3,5.9,15.0,.394,2.6,6.9,.372,3.3,8.0,.414,.481,3.6,4.2,.847,0.3,3.6,3.9,7.0,1.9,0.4,2.5,2.2,18.0
444,Noah Vonleh\vonleno01,C,24,MIN,24,1,12.8,1.6,3.0,.534,0.0,0.5,.077,1.6,2.5,.633,.541,0.8,1.0,.833,1.2,2.9,4.1,1.0,0.4,0.3,0.7,1.3,4.1
445,Nikola Vučević\vucevni01,C,29,ORL,26,26,31.4,7.1,15.9,.448,1.6,4.4,.360,5.5,11.5,.482,.498,2.3,3.0,.782,2.7,8.6,11.3,3.5,0.8,1.0,1.2,2.0,18.2
446,Dean Wade\wadede01,PF,23,CLE,5,0,5.4,0.6,0.8,.750,0.4,0.4,1.000,0.2,0.4,.500,1.000,0.0,0.0,,0.2,1.0,1.2,0.0,0.2,0.0,0.4,1.0,1.6
447,Moritz Wagner\wagnemo01,C,22,WAS,21,4,20.4,4.4,7.6,.581,1.0,2.7,.393,3.4,5.0,.683,.650,1.7,2.0,.837,1.6,4.4,6.0,1.3,0.7,0.6,2.0,3.9,11.6
448,Kemba Walker\walkeke02,PG,29,BOS,30,30,32.3,7.5,17.3,.432,3.6,9.1,.398,3.8,8.2,.469,.537,3.9,4.5,.874,0.8,3.1,3.9,5.2,0.9,0.6,2.3,1.6,22.5
449,Lonnie Walker\walkelo01,SG,21,SAS,27,1,11.6,2.2,4.9,.450,0.4,1.2,.364,1.7,3.6,.480,.496,0.7,1.0,.643,0.4,1.6,2.0,0.6,0.3,0.1,0.7,1.2,5.5
450,Tyrone Wallace\wallaty01,SG,25,ATL,14,0,11.4,1.0,3.1,.318,0.1,1.1,.067,0.9,2.1,.448,.330,0.8,1.2,.647,0.2,1.4,1.6,0.9,0.5,0.1,0.7,1.4,2.9
451,Taurean Waller-Prince\princta02,SF,25,BRK,36,36,30.5,4.4,11.9,.370,2.5,6.9,.361,1.9,4.9,.382,.475,0.9,1.1,.780,0.9,5.9,6.8,2.1,0.9,0.4,2.1,2.7,12.2
452,Derrick Walton\waltode01,PG,24,LAC,19,1,10.8,0.9,1.8,.500,0.5,1.1,.450,0.4,0.7,.571,.632,0.3,0.4,.857,0.1,0.6,0.7,1.1,0.2,0.0,0.2,0.9,2.6
453,Brad Wanamaker\wanambr01,PG,30,BOS,34,0,18.7,2.1,4.9,.424,0.4,1.4,.326,1.6,3.5,.462,.470,1.9,2.1,.900,0.4,1.7,2.1,2.7,0.7,0.3,1.2,1.9,6.4
454,T.J. Warren\warretj01,SF,26,IND,37,37,32.6,7.3,14.4,.507,1.2,3.4,.371,6.0,11.0,.548,.550,2.5,3.0,.839,0.9,2.9,3.8,1.4,1.0,0.4,1.2,2.6,18.3
455,PJ Washington\washipj01,PF,21,CHO,34,34,30.3,4.8,9.9,.481,1.4,3.5,.407,3.4,6.4,.521,.552,1.6,2.5,.655,0.9,4.5,5.4,1.9,0.9,0.9,1.5,2.7,12.6
456,Yuta Watanabe\watanyu01,SG,25,MEM,4,0,4.5,0.8,1.5,.500,0.3,0.5,.500,0.5,1.0,.500,.583,0.0,0.0,,0.3,1.0,1.3,0.0,0.0,0.3,0.3,0.3,1.8
457,Tremont Waters\watertr01,PG,22,BOS,5,0,7.8,1.6,4.0,.400,0.4,2.2,.182,1.2,1.8,.667,.450,0.8,0.8,1.000,0.0,0.6,0.6,1.0,0.6,0.4,1.0,0.8,4.4
458,Russell Westbrook\westbru01,PG,31,HOU,31,31,35.3,9.0,21.2,.426,1.1,4.8,.235,7.9,16.4,.482,.453,4.9,6.3,.784,1.6,6.4,7.9,7.0,1.5,0.4,4.4,3.8,24.1
459,Coby White\whiteco01,SG,19,CHI,37,0,23.9,4.2,11.2,.371,1.9,5.3,.350,2.3,5.9,.390,.454,1.1,1.5,.759,0.4,3.1,3.4,2.2,0.8,0.1,1.5,1.4,11.3
460,Derrick White\whitede01,SG,25,SAS,33,11,23.7,3.4,7.3,.463,1.0,2.5,.390,2.4,4.8,.500,.529,1.8,2.2,.806,0.5,2.5,3.0,3.2,0.5,0.6,1.2,2.1,9.5
461,Hassan Whiteside\whiteha01,C,30,POR,35,35,29.9,6.5,10.8,.602,0.0,0.1,.500,6.5,10.8,.602,.603,2.7,3.6,.768,4.1,9.9,14.0,1.3,0.4,2.9,1.9,3.0,15.8
462,Andrew Wiggins\wiggian01,SF,24,MIN,28,28,35.5,9.0,20.4,.442,2.2,6.8,.323,6.8,13.6,.501,.496,3.9,5.2,.752,1.4,4.0,5.4,3.3,0.7,1.1,2.5,2.4,24.1
463,Grant Williams\willigr01,PF,21,BOS,32,1,15.5,1.2,3.1,.380,0.3,1.4,.178,0.9,1.7,.545,.420,0.7,1.0,.688,0.8,1.6,2.3,1.0,0.4,0.5,0.8,2.2,3.3
464,Johnathan Williams\willijo04,F,24,WAS,6,5,20.5,2.5,3.7,.682,0.0,0.2,.000,2.5,3.5,.714,.682,0.5,0.8,.600,2.2,4.2,6.3,1.0,0.2,0.8,0.3,1.2,5.5
465,Kenrich Williams\willike04,PF,25,NOP,35,18,22.3,1.4,4.1,.343,0.7,2.7,.260,0.7,1.3,.511,.430,0.3,0.7,.375,1.4,3.7,5.1,1.5,0.7,0.6,0.6,2.3,3.8
466,Lou Williams\willilo02,SG,33,LAC,35,4,30.3,6.5,15.3,.422,1.9,5.0,.374,4.6,10.3,.446,.483,4.8,5.6,.858,0.4,2.6,3.0,6.3,0.7,0.1,3.2,1.5,19.6
467,Marvin Williams\willima02,PF,33,CHO,33,0,20.1,2.5,5.2,.474,1.2,3.0,.398,1.3,2.3,.573,.587,1.2,1.3,.905,0.4,2.3,2.7,1.0,0.7,0.5,0.6,1.8,7.3
468,Robert Williams\williro04,C,22,BOS,19,1,14.2,1.7,2.6,.673,0.0,0.0,,1.7,2.6,.673,.673,0.4,0.7,.571,1.2,3.4,4.6,1.1,0.9,1.1,0.8,1.8,3.9
469,Nigel Williams-Goss\willini01,PG,25,UTA,8,0,3.0,0.0,0.6,.000,0.0,0.1,.000,0.0,0.5,.000,.000,0.3,0.3,1.000,0.3,0.3,0.5,0.5,0.1,0.1,0.3,0.1,0.3
470,D.J. Wilson\wilsodj01,PF,23,MIL,21,0,10.0,1.5,3.3,.443,0.5,2.0,.262,1.0,1.3,.714,.521,0.1,0.1,.667,0.3,1.7,2.0,0.7,0.0,0.1,0.5,0.8,3.6
471,Justise Winslow\winslju01,SF,23,MIA,10,5,33.7,5.0,12.7,.394,0.6,2.6,.231,4.4,10.1,.436,.417,1.8,2.7,.667,1.6,5.5,7.1,4.3,0.6,0.4,2.3,3.6,12.4
472,Christian Wood\woodch01,PF,24,DET,34,1,16.6,3.3,5.7,.582,0.6,1.6,.370,2.7,4.1,.664,.634,2.2,3.1,.698,1.3,3.8,5.1,0.7,0.3,0.7,1.0,1.1,9.4
473,Delon Wright\wrighde01,SG,27,DAL,34,2,20.3,2.8,5.6,.495,0.7,1.7,.404,2.1,4.0,.533,.555,1.3,1.5,.846,0.9,2.6,3.5,3.2,1.4,0.4,0.8,1.2,7.6
474,Thaddeus Young\youngth01,PF,31,CHI,36,0,21.8,3.5,8.8,.399,1.1,3.3,.325,2.4,5.5,.442,.459,0.7,1.1,.600,1.5,3.0,4.5,1.9,1.1,0.3,1.4,1.8,8.7
475,Trae Young\youngtr01,PG,21,ATL,34,34,35.1,9.3,20.8,.448,3.5,9.4,.375,5.8,11.4,.509,.533,6.7,7.9,.850,0.5,3.8,4.3,8.4,1.2,0.1,4.8,1.7,28.9
476,Cody Zeller\zelleco01,C,27,CHO,36,20,23.2,4.5,8.3,.542,0.5,1.6,.298,4.0,6.7,.600,.571,2.3,3.2,.698,2.9,4.4,7.3,1.2,0.6,0.4,1.4,2.6,11.7
477,Ante Žižić\zizican01,C,23,CLE,14,0,10.1,1.9,3.1,.605,0.0,0.0,,1.9,3.1,.605,.605,0.9,1.1,.867,0.9,2.5,3.4,0.1,0.4,0.3,0.4,1.1,4.6
478,Ivica Zubac\zubaciv01,C,22,LAC,38,36,17.3,3.3,5.5,.595,0.0,0.1,.000,3.3,5.5,.601,.595,1.8,2.4,.739,2.5,4.2,6.7,0.9,0.2,0.9,0.9,2.3,8.4
