Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
289,Thon Maker\makerth01,C,22,DET,36,3,11.0,1.2,2.3,.512,0.3,0.8,.370,0.9,1.6,.579,.571,1.1,1.7,.623,0.6,1.3,1.9,0.4,0.3,0.5,0.6,1.4,3.7
290,Terance Mann\mannte01,SG,23,LAC,22,5,9.2,1.0,1.9,.500,0.1,0.4,.222,0.9,1.5,.576,.524,0.4,0.5,.800,0.1,1.0,1.1,1.3,0.3,0.1,0.5,1.2,2.4
291,Boban Marjanović\marjabo01,C,31,DAL,18,1,9.4,2.1,3.9,.543,0.0,0.2,.000,2.1,3.7,.576,.543,0.8,1.1,.700,1.1,3.0,4.1,0.4,0.1,0.2,0.8,1.6,5.0
292,Lauri Markkanen\markkla01,PF,22,CHI,37,37,30.3,5.2,12.2,.423,2.3,6.5,.350,2.9,5.7,.505,.515,2.8,3.4,.827,1.2,5.5,6.7,1.6,0.9,0.5,1.7,1.9,15.4
293,Caleb Martin\martica02,SF,24,CHO,5,0,6.4,0.6,2.0,.300,0.0,0.6,.000,0.6,1.4,.429,.300,0.6,1.0,.600,0.2,0.8,1.0,0.6,0.2,0.4,0.6,0.6,1.8
294,Cody Martin\martico01,SF,24,CHO,29,0,14.7,1.4,3.4,.408,0.3,1.3,.211,1.1,2.1,.533,.449,1.0,1.4,.690,0.6,2.0,2.6,1.2,0.8,0.2,0.6,1.5,4.0
295,Kelan Martin\martike03,SF,24,MIN,17,3,17.4,2.3,6.4,.358,0.9,3.4,.263,1.4,3.1,.462,.427,0.3,0.3,1.000,0.3,3.1,3.4,0.5,0.2,0.3,0.4,1.9,5.8
296,Frank Mason\masonfr01,PG,25,MIL,4,0,4.5,0.3,1.8,.143,0.3,1.0,.250,0.0,0.8,.000,.214,0.5,1.0,.500,0.3,0.3,0.5,1.3,0.3,0.0,0.3,0.5,1.3
297,Garrison Mathews\mathega01,SG,23,WAS,15,0,13.1,1.5,3.3,.460,1.2,2.8,.429,0.3,0.5,.625,.640,1.9,2.1,.906,0.4,1.1,1.5,0.7,0.2,0.1,0.5,1.7,6.2
298,Wesley Matthews\matthwe02,SG,33,MIL,35,35,24.1,2.6,6.2,.422,1.6,4.3,.376,1.0,2.0,.522,.550,0.9,1.1,.795,0.2,2.2,2.4,1.4,0.7,0.2,0.7,1.5,7.7
299,Patrick McCaw\mccawpa01,SF,24,TOR,16,10,26.9,2.4,5.8,.424,0.9,2.5,.350,1.6,3.3,.481,.500,0.4,0.5,.750,0.5,2.1,2.6,1.9,1.3,0.1,1.1,1.8,6.1
300,CJ McCollum\mccolcj01,SG,28,POR,37,37,36.5,8.8,19.4,.453,2.6,7.0,.365,6.2,12.3,.502,.519,1.9,2.3,.802,0.8,3.5,4.3,3.8,0.8,0.6,1.8,2.6,21.9
301,T.J. McConnell\mccontj01,PG,27,IND,35,0,18.7,3.2,6.2,.512,0.1,0.3,.364,3.1,5.9,.519,.521,0.5,0.7,.826,0.5,2.1,2.7,5.3,0.6,0.1,1.4,1.1,7.0
302,Jalen McDaniels\mcdanja01,PF,22,CHO,2,0,3.5,1.0,2.5,.400,0.0,0.5,.000,1.0,2.0,.500,.400,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0
303,Doug McDermott\mcderdo01,PF,28,IND,37,0,20.8,3.6,7.6,.468,1.8,4.1,.453,1.7,3.6,.485,.589,0.6,0.7,.808,0.4,2.2,2.6,1.1,0.1,0.1,0.7,1.8,9.5
304,JaVale McGee\mcgeeja01,C,32,LAL,37,37,16.5,3.1,4.9,.624,0.1,0.1,.667,3.0,4.8,.624,.630,0.7,1.1,.659,1.9,3.9,5.8,0.6,0.5,1.7,0.8,2.4,6.9
305,Rodney McGruder\mcgruro01,SG,28,LAC,26,2,16.8,1.4,3.6,.394,0.7,2.1,.315,0.8,1.5,.500,.484,0.3,0.5,.500,0.6,2.3,2.8,0.6,0.5,0.2,0.3,1.7,3.8
